State_ID,State_Name,District_ID,District_Name
1,Andaman and Nicobar Islands,1,North and Middle Andaman
1,Karnataka,264,Belgaum
1,Karnataka,265,Bangalore Urban
2,Andhra Pradesh,4,Krishna
2,Andhra Pradesh,6,YSR District Kadapa (Cuddapah)
2,Andhra Pradesh,7,Kurnool
2,Andhra Pradesh,8,Visakhapatnam
2,Andhra Pradesh,9,Anantapur
2,Andhra Pradesh,10,Chittoor
2,Andhra Pradesh,12,Prakasam
2,Andhra Pradesh,13,Sri Potti Sriramulu Nellore
2,Andhra Pradesh,14,Srikakulam
2,Andhra Pradesh,15,Vizianagaram
3,Arunachal Pradesh,20,Changlang
3,Arunachal Pradesh,26,Tirap
3,Arunachal Pradesh,29,Lohit
3,Arunachal Pradesh,30,Tawang
3,Arunachal Pradesh,32,Lower Subansiri
3,Arunachal Pradesh,34,Upper Siang
3,Arunachal Pradesh,36,Namsai
3,Arunachal Pradesh,38,West Siang
4,Assam,45,Tinsukia
4,Assam,46,Baksa
4,Assam,47,Barpeta
4,Assam,48,Darrang
4,Assam,49,Kamrup Metropolitan
4,Assam,51,Karbi-Anglong
4,Assam,52,Nalbari
4,Assam,54,Jorhat
4,Assam,55,Morigaon
4,Assam,60,Goalpara
4,Assam,61,Kokrajhar
4,Assam,64,Sonitpur
4,Assam,66,Cachar
5,Bihar,70,Madhepura
5,Bihar,71,Saharsa
5,Bihar,72,Supaul
5,Bihar,73,Purnia
5,Bihar,74,Araria
5,Bihar,79,Gaya
5,Bihar,80,Kaimur
5,Bihar,81,Rohtas
5,Bihar,82,Bhagalpur
5,Bihar,85,Munger
5,Bihar,87,Sheohar
5,Bihar,88,Sitamarhi
5,Bihar,89,Vaishali
5,Bihar,90,Nalanda
5,Bihar,91,Jehanabad
5,Bihar,92,Nawada
5,Bihar,93,Sheikhpura
5,Bihar,94,Darbhanga
5,Bihar,96,Samastipur
5,Bihar,97,Patna
5,Bihar,98,Begusarai
5,Bihar,99,Bhojpur
5,Bihar,100,Buxar
5,Bihar,104,Gopalganj
5,Bihar,105,East Champaran
5,Bihar,106,West Champaran
5,Bihar,107,Jamui
6,Chandigarh,108,Chandigarh
7,Chhattisgarh,109,Raipur
7,Chhattisgarh,110,Balod
7,Chhattisgarh,125,Korba
8,Dadra and Nagar Haveli,137,Dadra and Nagar Haveli
9,Delhi,140,New Delhi
9,Delhi,141,Central Delhi
9,Delhi,142,West Delhi
9,Delhi,143,North West Delhi
9,Delhi,144,South East Delhi
9,Delhi,145,East Delhi
9,Delhi,146,North Delhi
9,Delhi,147,North East Delhi
9,Delhi,148,Shahdara
9,Delhi,149,South Delhi
9,Delhi,150,South West Delhi
10,Goa,152,South Goa
11,Gujarat,154,Ahmedabad
11,Gujarat,160,Mehsana
11,Gujarat,163,Dang
11,Gujarat,164,Navsari
11,Gujarat,165,Surat
11,Gujarat,167,Valsad
11,Gujarat,170,Kutch
11,Gujarat,175,Bhavnagar
11,Gujarat,180,Bharuch
12,Haryana,186,Kurukshetra
12,Haryana,187,Panchkula
12,Haryana,188,Gurgaon
12,Haryana,189,Jhajjar
12,Haryana,190,Kaithal
12,Haryana,191,Hisar
12,Haryana,192,Rohtak
12,Haryana,193,Ambala
12,Haryana,194,Sirsa
12,Haryana,195,Panipat
12,Haryana,196,Fatehabad
12,Haryana,197,Yamunanagar
12,Haryana,203,Karnal
12,Haryana,204,Jind
12,Haryana,205,Nuh
12,Haryana,207,Palwal
13,Himachal Pradesh,215,Mandi
13,Himachal Pradesh,217,Hamirpur
14,Jammu and Kashmir,230,Jammu
14,Jammu and Kashmir,239,Reasi
15,Jharkhand,240,Ranchi
15,Jharkhand,242,Bokaro
15,Jharkhand,247,East Singhbhum
15,Jharkhand,253,Deoghar
15,Jharkhand,254,Ramgarh
15,Jharkhand,259,Jamtara
16,Karnataka,294,BBMP
17,Kerala,296,Thiruvananthapuram
17,Kerala,302,Malappuram
17,Kerala,307,Ernakulam
20,Madhya Pradesh,312,Bhopal
20,Madhya Pradesh,313,Gwalior
20,Madhya Pradesh,316,Rewa
20,Madhya Pradesh,317,Sagar
20,Madhya Pradesh,351,Bhind
21,Maharashtra,363,Pune
21,Maharashtra,364,Akola
21,Maharashtra,365,Nagpur
21,Maharashtra,366,Amravati
21,Maharashtra,367,Buldhana
21,Maharashtra,368,Yavatmal
21,Maharashtra,372,Ratnagiri
21,Maharashtra,374,Sindhudurg
21,Maharashtra,375,Solapur
21,Maharashtra,376,Satara
